id,title,release_date,year,genres,budget,revenue,popularity,production_companies,production_countries,spoken_languages
27205,Inception,2010-07-15,2010,"['Action', ' Science Fiction', ' Adventure']",160000000,825532764,83.952,"['Legendary Pictures', ' Syncopy', ' Warner Bros. Pictures']","United Kingdom, United States of America","English, French, Japanese, Swahili"
157336,Interstellar,2014-11-05,2014,"['Adventure', ' Drama', ' Science Fiction']",165000000,701729206,140.241,"['Legendary Pictures', ' Syncopy', ' Lynda Obst Productions']","United Kingdom, United States of America",English
155,The Dark Knight,2008-07-16,2008,"['Drama', ' Action', ' Crime', ' Thriller']",185000000,1004558444,130.643,"['DC Comics', ' Legendary Pictures', ' Syncopy', ' Isobel Griffiths', ' Warner Bros. Pictures']","United Kingdom, United States of America","English, Mandarin"
19995,Avatar,2009-12-15,2009,"['Action', ' Adventure', ' Fantasy', ' Science Fiction']",237000000,2923706026,79.932,"['Dune Entertainment', ' Lightstorm Entertainment', ' 20th Century Fox', ' Ingenious Media']","United States of America, United Kingdom","English, Spanish"
24428,The Avengers,2012-04-25,2012,"['Science Fiction', ' Action', ' Adventure']",220000000,1518815515,98.082,['Marvel Studios'],United States of America,"English, Hindi, Russian"
293660,Deadpool,2016-02-09,2016,"['Action', ' Adventure', ' Comedy']",58000000,783100000,72.735,"['20th Century Fox', "" The Donners' Company"", ' Genre Films']",United States of America,English
299536,Avengers: Infinity War,2018-04-25,2018,"['Adventure', ' Action', ' Science Fiction']",300000000,2052415039,154.34,['Marvel Studios'],United States of America,"English, Xhosa"
550,Fight Club,1999-10-15,1999,['Drama'],63000000,100853753,69.498,"['Regency Enterprises', ' Fox 2000 Pictures', ' Taurus Film', ' Atman Entertainment', ' Knickerbocker Films', ' The Linson Company', ' 20th Century Fox']",United States of America,English
118340,Guardians of the Galaxy,2014-07-30,2014,"['Action', ' Science Fiction', ' Adventure']",170000000,772776600,33.255,['Marvel Studios'],United States of America,English
680,Pulp Fiction,1994-09-10,1994,"['Thriller', ' Crime']",8500000,213900000,74.862,"['Miramax', ' A Band Apart', ' Jersey Films']",United States of America,"English, Spanish, French"
